id,created_at,screen_name,full_text,favorite_count,retweet_count,location,bounding_box
1058853098108739584,2018-11-03 22:47:05,espn,"The LSU Haka is BACK! 🔥 

(via @landryyy14) https://t.co/Bo4M9SVJJJ",22720,4853,,
1058853267042680838,2018-11-03 22:47:46,FiveFoh,@espn @landryyy14 That’s cool but I wanna see them do it when they lose,7,0,,
1058853306141937665,2018-11-03 22:47:55,millicannn,Alabama by 50 https://t.co/mOQyzn6MUN,0,0,,
1058853324286394368,2018-11-03 22:47:59,bulls2020champs,@espn @landryyy14 Louisiana ain't Hawaii fam,50,0,,
1058853350018609152,2018-11-03 22:48:05,jonkushington,Tua speak that same language tho https://t.co/fqWOp9PLWK,2,0,,
1058853377495322624,2018-11-03 22:48:12,locktreee,Lmao they finna get smacked https://t.co/92BHx0KEEq,0,0,,
1058853403684679680,2018-11-03 22:48:18,TheRook22,LSU by a billion! #Geauxtigers https://t.co/0yxcX57DhB,0,0,,
1058853404800438272,2018-11-03 22:48:18,_mrsoto518,hakas &gt;&gt;&gt;&gt;&gt;&gt;&gt; https://t.co/uBujXcgHYx,0,0,,
1058853417257496583,2018-11-03 22:48:21,Briguglio19,I could run through a wall after that https://t.co/JTgznMvMzr,1,0,,
1058853444692389888,2018-11-03 22:48:28,D_Smith6766,Uh oh Bama in trouble😂😂 https://t.co/j6AERhec53,1,0,,
1058853455715024896,2018-11-03 22:48:31,sweetest_cin322,I get chills every time !! https://t.co/FH6uJ5B2Tx,0,0,,
1058853472358072327,2018-11-03 22:48:35,girlygirl1893,Time to run through every wall in the state of Alabama https://t.co/lkZQCEUK21,0,0,,
1058853486425788417,2018-11-03 22:48:38,mattyice__17,This makes me miss playing ball in Hawaii so much 😭😭 toooo TOUGH 💪🏻 Geaux Tigers https://t.co/fW1zITBfcN,2,0,,
1058853510073192448,2018-11-03 22:48:44,lilgregyoung24,All that for a lost 😂😂😂 https://t.co/YO6FLOIT1p,0,0,,
1058853529459347456,2018-11-03 22:48:48,SnowntheAkRowdy,This is so epic!!!!!!!! https://t.co/IPSlzpFdgY,0,0,,
1058853539668209665,2018-11-03 22:48:51,BeeLakeH,@PimpinVanSmack #RollTide by 4 touchdowns 💰💰 https://t.co/YwpYjYKJ0k,0,0,,
1058853548677578753,2018-11-03 22:48:53,iHumble,This is great. #LSU https://t.co/Q6fKDb2arz,0,0,,
1058853550317539332,2018-11-03 22:48:53,ZCardenez,I LOVE THESE https://t.co/tBkeTbVW8G,0,0,,
1058853561382125568,2018-11-03 22:48:56,Adkins_Ryne,Let’s see them dance after the Tide comes in! #RollTide https://t.co/msJ3sViAHX,0,0,"Linton Hall, VA, United States","{'type': 'Polygon', 'coordinates': [[[-77.622033, 38.7170968], [-77.534718, 38.7170968], [-77.534718, 38.78464], [-77.622033, 38.78464]]]}"
1058853565144256512,2018-11-03 22:48:57,lorenJmiller,Love it! https://t.co/rtTK0uHiGk,0,0,,
1058853566956429313,2018-11-03 22:48:57,toribaker_11,They’re going to win because of this https://t.co/tjUec3InbQ,0,0,,
1058853574472622081,2018-11-03 22:48:59,Matt_Snyder,@HustleTheSavage didn’t know you had family down on the Bayou. https://t.co/uLO1uZnALV,0,0,,
1058853577060483078,2018-11-03 22:48:59,ObK_Nightmaher,Bruh 😂😂 https://t.co/0blcR1tdPA,0,0,,
